TestId,TestStatus,serial.port,comport_binding,interface,ser.baudrate,ser.bytesize,ser.parity,ser.stopbits,ser.xonxoff,ser.rtscts,ser.dsrdtr,host,tcp.port,packet.length,iterations,FileSend
140,FALSE,COM8,data1,rs485-2w,9600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
141,FALSE,COM8,data1,rs485-2w,19200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
142,FALSE,COM8,data1,rs485-2w,38400,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
143,FALSE,COM8,data1,rs485-2w,57600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
144,FALSE,COM8,data1,rs485-2w,115200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
145,FALSE,COM8,data1,rs485-4w,75,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
146,FALSE,COM8,data1,rs485-4w,110,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
147,FALSE,COM8,data1,rs485-4w,134,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
148,FALSE,COM8,data1,rs485-4w,150,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
149,FALSE,COM8,data1,rs485-4w,200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
150,FALSE,COM8,data1,rs485-4w,300,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
151,FALSE,COM8,data1,rs485-4w,600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
152,FALSE,COM8,data1,rs485-4w,1200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
153,FALSE,COM8,data1,rs485-4w,1800,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
154,FALSE,COM8,data1,rs485-4w,2400,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
